Document,Type,Description
SB 0001 of 2011,Senate Bill,Michigan business tax; repeal; Michigan business tax; repeal. Repeals 2007 PA 36 (MCL 208.1101 - 208.1601).Last Action: REFERRED TO COMMITTEE ON FINANCE
SB 1308 of 2012 (PA 0445 of 2012),Senate Bill,Insurance; health; internal formal grievance procedure; modify. Amends sec. 2213 of 1956 PA 218 (MCL 500.2213).Last Action: ASSIGNED PA 0445'12 WITH IMMEDIATE EFFECT
SB 1309 of 2012,Senate Bill,Occupations; nurses; scope of practice of certified registered nurse anesthetists; modify. Amends sec. 17201 of 1978 PA 368 (MCL 333.17201).Last Action: REFERRED TO COMMITTEE ON HEALTH POLICY
SB 1310 of 2012,Senate Bill,Health; occupations; midwives; provide for licensing and regulation. Amends 1978 PA 368 (MCL 333.1101 - 333.25211) by adding sec. 16326 & pt. 171.Last Action: REFERRED TO COMMITTEE ON HEALTH POLICY
SB 1311 of 2012,Senate Bill,"Natural resources; wetlands; permit exemptions for wetlands and inland lakes and streams; revise, and require more information from department justifying denial of any part 13 permits. Amends secs. 1307, 1311, 30103, 30104, 30305, 30306, 30311a, 30311d, 32513 & 32514 of 1994 PA 451 (MCL 324.1307 et seq.) & repeals secs. 30325 & 30329 of 1994 PA 451 (MCL 324.30325 & 324.30329).Last Action: REFERRED TO COMMITTEE ON NATURAL RESOURCES, ENVIRONMENT AND GREAT LAKES"
SB 1312 of 2012,Senate Bill,"Children; protection; best interest of the child determination relating to child abuse and neglect; modify. Amends secs. 2, 3, 4, 5, 6a, 7, 7a & 7b of 1970 PA 91 (MCL 722.22 et seq.) & adds secs. 3a & 6f.Last Action: REFERRED TO COMMITTEE ON JUDICIARY"
SB 1313 of 2012 (PA 0583 of 2012),Senate Bill,"Crimes; crimes against minors; copying or reproducing child sexually abusive material; prohibit, and restrict access to and reproduction of evidence of the violation. Amends sec. 145c of 1931 PA 328 (MCL 750.145c).Last Action: ASSIGNED PA 0583'12 WITH IMMEDIATE EFFECT"
SB 1314 of 2012,Senate Bill,Crimes; obscenity; copying or otherwise reproducing child sexually abusive material; prohibit. Amends sec. 145c of 1931 PA 328 (MCL 750.145c).Last Action: referred to Committee on Judiciary
SB 1315 of 2012 (PA 0623 of 2012),Senate Bill,Criminal procedure; warrants; warrantless search of parolees; provide for under certain circumstances. Amends sec. 36 of 1953 PA 232 (MCL 791.236).Last Action: ASSIGNED PA 0623'12 WITH IMMEDIATE EFFECT
SB 1316 of 2012,Senate Bill,Businesses; professional corporations; citation to professional service corporation act in public health code; revise. Amends sec. 17048 of 1978 PA 368 (MCL 333.17048).  TIE BAR WITH: SB 1320'12Last Action: postponed temporarily
SB 1317 of 2012 (PA 0566 of 2012),Senate Bill,Businesses; professional corporations; citation to professional service corporation act in occupational code; revise. Amends sec. 721 of 1980 PA 299 (MCL 339.721).  TIE BAR WITH: SB 1320'12Last Action: ASSIGNED PA 0566'12 WITH IMMEDIATE EFFECT
SB 1318 of 2012 (PA 0567 of 2012),Senate Bill,Businesses; professional corporations; citation to professional service corporation act in assumed name statute; revise. Amends sec. 4 of 1907 PA 101 (MCL 445.4).  TIE BAR WITH: SB 1320'12Last Action: ASSIGNED PA 0567'12 WITH IMMEDIATE EFFECT
SB 1319 of 2012 (PA 0568 of 2012),Senate Bill,Businesses; professional corporations; citation to professional service corporation act in limited liability company act; revise. Amends secs. 102 & 902 of 1993 PA 23 (MCL 450.4102 & 450.4902).  TIE BAR WITH: SB 1320'12Last Action: ASSIGNED PA 0568'12 WITH IMMEDIATE EFFECT
SB 1320 of 2012 (PA 0569 of 2012),Senate Bill,"Businesses; professional corporations; regulation of professional corporations; recodify in business corporation act and make general revisions. Amends secs. 105, 106, 108, 109, 123, 201, 202, 211, 241, 405, 488, 528, 564b, 565, 569, 611, 631, 641, 642, 643, 703a, 753, 762, 776, 781, 784, 804, 911, 1021, 1035 & 1041 of 1972 PA 284 (MCL 450.1105 et seq.); adds sec. 529 & ch. 2A & repeals 1962 PA 192 (MCL 450.221 - 450.235).Last Action: ASSIGNED PA 0569'12 WITH IMMEDIATE EFFECT"
SB 1321 of 2012 (PA 0591 of 2012),Senate Bill,Occupations; security guards; reporting certain crimes to law enforcement; require. Amends 1968 PA 330 (MCL 338.1051 - 338.1092) by adding sec. 17a.Last Action: ASSIGNED PA 0591'12
SB 1322 of 2012 (PA 0570 of 2012),Senate Bill,Transportation; other; amendment of motor bus transportation act to reflect transfer of duties regarding self-insurers from the secretary of state to the insurance commissioner; provide for. Amends sec. 9 of 1982 PA 432 (MCL 474.109).Last Action: ASSIGNED PA 0570'12 WITH IMMEDIATE EFFECT
SB 1323 of 2012 (PA 0571 of 2012),Senate Bill,Insurance; no-fault; act allowing municipal self-insurance pools; amend to reflect transfer of duties regarding self-insurers from the secretary of state to the insurance commissioner. Amends sec. 9 of 1951 PA 35 (MCL 124.9).Last Action: ASSIGNED PA 0571'12 WITH IMMEDIATE EFFECT
SB 1324 of 2012 (PA 0572 of 2012),Senate Bill,Insurance; no-fault; motor vehicle claims act; amend to reflect transfer of duties regarding self-insurers from the secretary of state to the insurance commissioner. Amends sec. 2 of 1965 PA 198 (MCL 257.1102).Last Action: ASSIGNED PA 0572'12 WITH IMMEDIATE EFFECT
SB 1325 of 2012,Senate Bill,"Occupations; interior design; licensure of licensed interior designers; provide for, and clarify certain services provided. Amends secs. 303a & 601 of 1980 PA 299 (MCL 339.303a & 339.601); adds art. 28 & repeals sec. 601a of 1980 PA 299 (MCL 339.601a).  TIE BAR WITH: SB 1326'12, SB 1327'12Last Action: REFERRED TO COMMITTEE ON REGULATORY REFORM"
SB 1326 of 2012,Senate Bill,Construction; code; issuance of certain permits to certain persons; clarify as to licensed interior designers. Amends 1972 PA 230 (MCL 125.1501 - 125.1531) by adding sec. 10a.  TIE BAR WITH: SB 1325'12Last Action: REFERRED TO COMMITTEE ON REGULATORY REFORM
SB 1327 of 2012,Senate Bill,Occupations; licensing fees; licensed interior designers; provide for. Amends 1979 PA 152 (MCL 338.2201 - 338.2277) by adding sec. 19.  TIE BAR WITH: SB 1325'12Last Action: REFERRED TO COMMITTEE ON REGULATORY REFORM
SB 1328 of 2012 (PA 0446 of 2012),Senate Bill,"Environmental protection; cleanups; procedures for cleanups and funding; modify. Amends secs. 11506, 19608, 19612, 20101, 20104, 20114, 20114c, 20114d, 20114e, 20120a, 20120b, 20120c, 20126, 21301b, 21302, 21303, 21304, 21304a, 21304b, 21304c, 21304d, 21307, 21307a, 21308a, 21309a, 21310a, 21311a, 21312a, 21313a, 21315, 21316a, 21319a, 21323a, 21323j, 21323m, 21326, 21332 & 21333 of 1994 PA 451 (MCL 324.11506 et seq.); adds secs. 20114f, 20114g & 21323n & repeals subpt. 1 of pt. 147 of 1994 PA 451 (MCL 324.14701 - 324.14705).Last Action: ASSIGNED PA 0446'12 WITH IMMEDIATE EFFECT"
SB 1329 of 2012,Senate Bill,Taxation; administration; liability for taxes collected and unpaid taxes; modify. Amends sec. 27a of 1941 PA 122 (MCL 205.27a).Last Action: REFERRED TO COMMITTEE ON FINANCE
SB 1330 of 2012,Senate Bill,"Counties; ordinances; uniform traffic code; authorize counties to adopt. Amends title & secs. 1, 2, 3, 4 & 5 of 1956 PA 62 (MCL 257.951 et seq.).Last Action: REFERRED TO COMMITTEE ON TRANSPORTATION"
SB 1331 of 2012,Senate Bill,"Criminal procedure; sex offender registration; loitering within 1,000 feet of day care center; prohibit, and regulate certain other conduct in school safety zones. Amends secs. 34 & 35 of 1994 PA 295 (MCL 28.734 & 28.735).Last Action: REFERRED TO COMMITTEE ON JUDICIARY"
SB 1332 of 2012,Senate Bill,"Criminal procedure; sentencing guidelines; sentencing guidelines for crime of registered sex offender loitering within 1,000 feet of a day care center; enact. Amends sec. 11b, ch. XVII of 1927 PA 175 (MCL 777.11b).  TIE BAR WITH: SB 1331'12Last Action: REFERRED TO COMMITTEE ON JUDICIARY"
SB 1333 of 2012,Senate Bill,Health; disabilities; brain injury law of Michigan; create. Amends 1978 PA 368 (MCL 333.1101 - 333.25211) by adding pt. 52A.Last Action: REFERRED TO COMMITTEE ON HEALTH POLICY
SB 1334 of 2012,Senate Bill,Health; medical waste; procedures for disposal; modify. Amends secs. 13809 & 13811 of 1978 PA 368 (MCL 333.13809 & 333.13811).Last Action: PLACED ON ORDER OF THIRD READING
SB 1335 of 2012 (PA 0415 of 2012),Senate Bill,"Labor; health and safety; ""clear and convincing need"" for new standard; clarify, and remove references to abolished commissions. Amends sec. 14 of 1974 PA 154 (MCL 408.1014).  TIE BAR WITH: HB 5917'12, HB 5922'12, SB 1336'12Last Action: ASSIGNED PA 0415'12 WITH IMMEDIATE EFFECT"
SB 1336 of 2012 (PA 0447 of 2012),Senate Bill,"Labor; health and safety; occupational health standards commission; eliminate and update with federal hazard communication standards. Amends secs. 5, 14a, 14b, 14d, 14e, 14f, 14h, 14j, 14k, 14l, 24, 31, 54 & 63 of 1974 PA 154 (MCL 408.1005 et seq.) & repeals sec. 23 of 1974 PA 154 (MCL 408.1023).  TIE BAR WITH: HB 5917'12, HB 5922'12, SB 1335'12Last Action: ASSIGNED PA 0447'12 WITH IMMEDIATE EFFECT"
SB 1337 of 2012 (PA 0573 of 2012),Senate Bill,Sales tax; exemptions; exemptions for fund-raising by nonprofits and charities; clarify. Amends sec. 4q of 1933 PA 167 (MCL 205.54q).Last Action: ASSIGNED PA 0573'12
SB 1338 of 2012,Senate Bill,Probate; guardians and conservators; guardianship petitions; allow probate judges to schedule certain hearings prior to minor turning 18 years of age. Amends secs. 5303 & 5306 of 1998 PA 386 (MCL 700.5303 & 700.5306).Last Action: REFERRED TO COMMITTEE ON JUDICIARY
SB 1339 of 2012,Senate Bill,"Communications; telecommunications; state eligibility requirements for low-income program; revise and modify when providers may shut off service to certain customers. Amends secs. 304, 316 & 502 of 1991 PA 179 (MCL 484.2304 et seq.).Last Action: REFERRED TO COMMITTEE ON ENERGY AND TECHNOLOGY"
SB 1340 of 2012,Senate Bill,"Natural resources; hunting; restitution value for possession of certain wildlife; modify. Amends sec. 40119 of 1994 PA 451 (MCL 324.40119).  TIE BAR WITH: SB 1341'12Last Action: referred to Committee on Natural Resources, Tourism, and Outdoor Recreation"
SB 1341 of 2012,Senate Bill,"Natural resources; hunting; penalties for trespassing; modify. Amends secs. 73109 & 73110 of 1994 PA 451 (MCL 324.73109 & 324.73110).  TIE BAR WITH: SB 1340'12Last Action: referred to Committee on Natural Resources, Tourism, and Outdoor Recreation"
SB 1342 of 2012,Senate Bill,Natural resources; inland lakes; beach grooming; allow. Amends sec. 30103 of 1994 PA 451 (MCL 324.30103).Last Action: REFERRED TO COMMITTEE ON OUTDOOR RECREATION AND TOURISM
SB 1343 of 2012,Senate Bill,Health facilities; hospitals; written policy regarding medical futility; provide for upon request. Amends 1978 PA 368 (MCL 333.1101 - 333.25211) by adding pt. 204.Last Action: REFERRED TO COMMITTEE ON HEALTH POLICY
SB 1344 of 2012,Senate Bill,"State financing and management; purchasing; technical amendments concerning spending plans; provide for. Amends sec. 371 of 1984 PA 431 (MCL 18.1371).  TIE BAR WITH: SB 0021'11, SB 0802'11Last Action: REFERRED TO COMMITTEE ON REFORMS, RESTRUCTURING AND REINVENTING"
SB 1345 of 2012,Senate Bill,"Criminal procedure; DNA; collection of DNA samples at time of arrest for committing or attempting to commit a felony offense; provide for in DNA identification profiling system. Amends title & secs. 2, 3, 3a & 6 of 1990 PA 250 (MCL 28.172 et seq.).Last Action: REFERRED TO COMMITTEE ON JUDICIARY"
SB 1346 of 2012,Senate Bill,Criminal procedure; DNA; collection of DNA samples at time of arrest for committing a felony or attempting to commit a felony offense; provide for in Michigan penal code. Amends sec. 520m of 1931 PA 328 (MCL 750.520m).Last Action: REFERRED TO COMMITTEE ON JUDICIARY
SB 1347 of 2012,Senate Bill,"Criminal procedure; DNA; collection of DNA samples at time of arrest for committing or attempting to commit a felony offense; provide for in probate code of 1939. Amends sec. 18k, ch. XIIA of 1939 PA 288 (MCL 712A.18k).Last Action: REFERRED TO COMMITTEE ON JUDICIARY"
SB 1348 of 2012,Senate Bill,"Natural resources; wildlife; wildlife violator compact law; modify enforcement provisions. Amends sec. 43559 of 1994 PA 451 (MCL 324.43559) & adds sec. 1616.Last Action: referred to Committee on Natural Resources, Tourism, and Outdoor Recreation"
SB 1349 of 2012,Senate Bill,Controlled substances; marihuana; sale of marihuana through licensed facilities; allow under certain circumstances and regulate the possession and use of marihuana by certain individuals. Amends secs. 7212 & 7214 of 1978 PA 368 (MCL 333.7212 & 333.7214); adds art. 8 & repeals secs. 7335 & 7336 of 1978 PA 368 (MCL 333.7335 & 333.7336).Last Action: REFERRED TO COMMITTEE ON GOVERNMENT OPERATIONS
SB 1350 of 2012 (PA 0520 of 2012),Senate Bill,"Natural resources; hunting; gray wolf; include in game list and authorize hunting season. Amends secs. 40103, 40118, 43503 & 43507 of 1994 PA 451 (MCL 324.40103 et seq.) & adds secs. 40110b, 43528b & 43540e.Last Action: ASSIGNED PA 0520'12 WITH IMMEDIATE EFFECT"
SB 1351 of 2012 (PA 0624 of 2012),Senate Bill,"Courts; reorganization; court of appeals and certain district court districts; reorganize. Amends secs. 302, 303a, 8123 & 8132 of 1961 PA 236 (MCL 600.302 et seq.).Last Action: ASSIGNED PA 0624'12 WITH IMMEDIATE EFFECT"
SB 1352 of 2012,Senate Bill,Education; school districts; limitations on certain uses of school district funds; provide for. Amends secs. 1254 & 1814 of 1976 PA 451 (MCL 380.1254 & 380.1814).  TIE BAR WITH: SB 1353'12Last Action: REFERRED TO COMMITTEE ON EDUCATION
SB 1353 of 2012,Senate Bill,School aid; other; reporting of certain expenditures; require. Amends sec. 18 of 1979 PA 94 (MCL 388.1618).  TIE BAR WITH: SB 1352'12Last Action: REFERRED TO COMMITTEE ON EDUCATION
SB 1354 of 2012,Senate Bill,Health; pharmaceuticals; standards for pharmacy auditing practices; provide for. Amends 1978 PA 368 (MCL 333.1101 - 333.25211) by adding sec. 17775.Last Action: REFERRED TO COMMITTEE ON HEALTH POLICY
SB 1355 of 2012,Senate Bill,"Gaming; horse racing; advance deposit account wagering on horse races; allow. Amends title & secs. 2, 8 & 17 of 1995 PA 279 (MCL 431.302 et seq.) & adds sec. 17a.Last Action: REFERRED TO COMMITTEE ON AGRICULTURE"
SB 1356 of 2012,Senate Bill,Probate; guardians and conservators; guardianship petitions; allow probate judges to schedule certain hearings prior to minor turning 18 years of age. Amends secs. 5303 & 5306 of 1998 PA 386 (MCL 700.5303 & 700.5306).Last Action: REFERRED TO COMMITTEE ON JUDICIARY
SB 1357 of 2012 (PA 0611 of 2012),Senate Bill,"Criminal procedure; sentencing guidelines; sentencing guidelines for crime of tampering with or removing electronic monitoring device; enact. Amends sec. 17f, ch. XVII of 1927 PA 175 (MCL 777.17f).  TIE BAR WITH: SB 1127'12Last Action: ASSIGNED PA 0611'12 WITH IMMEDIATE EFFECT"
SB 1358 of 2012,Senate Bill,"Education; other; education achievement authority; establish as part of public education system and provide for its powers and duties, and establish process for redeployment of unused public school buildings. Amends secs. 3, 4, 5, 6, 1260 & 1280c of 1976 PA 451 (MCL 380.3 et seq.) & adds secs. 1260a, 1701b & 1701c & pt. 7c.Last Action: REFERRED TO COMMITTEE ON EDUCATION"
SB 1359 of 2012,Senate Bill,Insurance; health; health insurance claims assessment; provide for adjustable rate. Amends sec. 3 of 2011 PA 142 (MCL 550.1733).Last Action: REFERRED TO COMMITTEE ON APPROPRIATIONS
SB 1360 of 2012 (PA 0359 of 2012),Senate Bill,"Retirement; public school employees; deadline to elect pension contribution limits; extend. Amends secs. 8, 59, 84b & 91a of 1980 PA 300 (MCL 38.1308 et seq.).Last Action: ASSIGNED PA 0359'12 WITH IMMEDIATE EFFECT"
SB 1361 of 2012,Senate Bill,Businesses; nonprofit corporations; fees for filing certain reports; revise. Amends sec. 1060 of 1982 PA 162 (MCL 450.3060).Last Action: REFERRED TO COMMITTEE ON APPROPRIATIONS
SB 1362 of 2012,Senate Bill,Public utilities; electric utilities; certain industrial customers; allow to obtain service from alternative electric supplier. Creates new act.Last Action: REFERRED TO COMMITTEE ON ENERGY AND TECHNOLOGY
SB 1363 of 2012,Senate Bill,Public utilities; electric utilities; certain industrial customers; allow to negotiate new contracts. Amends sec. 5 of 2010 PA 297 (MCL 460.995).Last Action: REFERRED TO COMMITTEE ON ENERGY AND TECHNOLOGY
